epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,6833.17,1.40254,1.36027,0.01759,0.69495,0.74002,0.7373,0.39916,1.64526,1.127,0.02547,0.00806514,0.00268838,0.00806514,0.00268838,0.00806514,0.00268838,0.00806514,0.00268838
86,6913.05,1.41448,1.3429,0.01771,0.68944,0.74538,0.73743,0.4003,1.64278,1.12126,0.02542,0.00804359,0.0026812,0.00804359,0.0026812,0.00804359,0.0026812,0.00804359,0.0026812
87,6992.81,1.39632,1.33624,0.01764,0.6893,0.74441,0.73703,0.40121,1.64204,1.11905,0.02541,0.00802182,0.00267394,0.00802182,0.00267394,0.00802182,0.00267394,0.00802182,0.00267394
88,7072.78,1.40083,1.32791,0.01757,0.68533,0.74616,0.73737,0.40184,1.64258,1.11571,0.02544,0.00799983,0.00266661,0.00799983,0.00266661,0.00799983,0.00266661,0.00799983,0.00266661
89,7152.92,1.40356,1.34679,0.0176,0.69272,0.75169,0.74003,0.40275,1.64367,1.11304,0.02549,0.00797764,0.00265921,0.00797764,0.00265921,0.00797764,0.00265921,0.00797764,0.00265921
90,7233.31,1.38501,1.33357,0.01739,0.69782,0.74535,0.7405,0.40202,1.64214,1.11638,0.02544,0.00795523,0.00265174,0.00795523,0.00265174,0.00795523,0.00265174,0.00795523,0.00265174
91,7313.27,1.39556,1.32514,0.01768,0.70874,0.73556,0.74229,0.40286,1.64205,1.10829,0.02543,0.00793261,0.0026442,0.00793261,0.0026442,0.00793261,0.0026442,0.00793261,0.0026442
92,7393.23,1.38735,1.31638,0.01742,0.70459,0.73621,0.74375,0.40368,1.64057,1.1103,0.02542,0.00790978,0.00263659,0.00790978,0.00263659,0.00790978,0.00263659,0.00790978,0.00263659
93,7473.28,1.37572,1.32242,0.01726,0.70473,0.73518,0.74377,0.4024,1.64686,1.10882,0.02556,0.00788674,0.00262891,0.00788674,0.00262891,0.00788674,0.00262891,0.00788674,0.00262891
94,7552.93,1.39321,1.32067,0.01761,0.70784,0.73503,0.74495,0.40382,1.64767,1.10709,0.02558,0.0078635,0.00262117,0.0078635,0.00262117,0.0078635,0.00262117,0.0078635,0.00262117
95,7633.13,1.3903,1.3332,0.01761,0.71399,0.7295,0.74339,0.40265,1.64623,1.10923,0.02554,0.00784006,0.00261335,0.00784006,0.00261335,0.00784006,0.00261335,0.00784006,0.00261335
96,7713.53,1.38151,1.31594,0.01729,0.71249,0.73007,0.74198,0.40233,1.64521,1.11041,0.02552,0.00781641,0.00260547,0.00781641,0.00260547,0.00781641,0.00260547,0.00781641,0.00260547
97,7793.4,1.38821,1.29866,0.01744,0.70332,0.73335,0.74031,0.40116,1.64358,1.10835,0.02551,0.00779256,0.00259752,0.00779256,0.00259752,0.00779256,0.00259752,0.00779256,0.00259752
98,7873.25,1.37753,1.30851,0.01719,0.71594,0.72677,0.74377,0.40266,1.64106,1.10915,0.02543,0.0077685,0.0025895,0.0077685,0.0025895,0.0077685,0.0025895,0.0077685,0.0025895
99,7953.2,1.36755,1.31255,0.01715,0.72155,0.72838,0.74527,0.40333,1.63802,1.11013,0.02537,0.00774425,0.00258142,0.00774425,0.00258142,0.00774425,0.00258142,0.00774425,0.00258142
100,8033.34,1.37723,1.30145,0.01745,0.72676,0.725,0.74589,0.40418,1.63739,1.10672,0.02537,0.0077198,0.00257327,0.0077198,0.00257327,0.0077198,0.00257327,0.0077198,0.00257327
101,8113.2,1.37515,1.28266,0.01712,0.72207,0.72399,0.74725,0.40551,1.63344,1.10769,0.02527,0.00769516,0.00256505,0.00769516,0.00256505,0.00769516,0.00256505,0.00769516,0.00256505
102,8193.11,1.37057,1.27995,0.017,0.7148,0.72823,0.74736,0.40452,1.63466,1.1071,0.02531,0.00767032,0.00255677,0.00767032,0.00255677,0.00767032,0.00255677,0.00767032,0.00255677
103,8273.03,1.37357,1.29076,0.01725,0.72798,0.72409,0.7473,0.40419,1.63463,1.10716,0.02529,0.00764529,0.00254843,0.00764529,0.00254843,0.00764529,0.00254843,0.00764529,0.00254843
104,8353.04,1.3743,1.26971,0.01722,0.72449,0.72952,0.74839,0.40543,1.63289,1.10476,0.02522,0.00762007,0.00254002,0.00762007,0.00254002,0.00762007,0.00254002,0.00762007,0.00254002
105,8433.11,1.38094,1.27829,0.01714,0.72412,0.73077,0.74919,0.40578,1.63284,1.10311,0.02526,0.00759466,0.00253155,0.00759466,0.00253155,0.00759466,0.00253155,0.00759466,0.00253155
106,8513.3,1.36572,1.29364,0.01717,0.729,0.71685,0.75013,0.4072,1.63111,1.10298,0.0252,0.00756906,0.00252302,0.00756906,0.00252302,0.00756906,0.00252302,0.00756906,0.00252302
107,8593.31,1.36965,1.26559,0.017,0.73726,0.70879,0.75007,0.40763,1.63107,1.10378,0.02518,0.00754327,0.00251442,0.00754327,0.00251442,0.00754327,0.00251442,0.00754327,0.00251442
108,8673.61,1.35782,1.26256,0.01677,0.72727,0.72017,0.75008,0.40874,1.6303,1.10419,0.02517,0.0075173,0.00250577,0.0075173,0.00250577,0.0075173,0.00250577,0.0075173,0.00250577
